Event_Name,Fav_Fighter,Un_Fighter,Fighter_ID_Fav,Fighter_ID_Un,Result_Fav,Result_Un,Round,Round_Format,Weight_Class,Time,Method,Height_Fav,Reach_Fav,Stance_Fav,Height_Un,Reach_Un,Stance_Un,Avg_Odds_Fav,Avg_Odds_Un,Med_Odds_Fav,Med_Odds_Un,Impld_Prob_Avg_Fav,Impld_Prob_Avg_Un,Impld_Prob_Med_Fav,Impld_Prob_Med_Un,USodds_Fav_1,USodds_Un_1,USodds_Fav_2,USodds_Un_2,USodds_Fav_3,USodds_Un_3,USodds_Fav_4,USodds_Un_4,USodds_Fav_5,USodds_Un_5,Decodds_Fav_1,Decodds_Un_1,Decodds_Fav_2,Decodds_Un_2,Decodds_Fav_3,Decodds_Un_3,Decodds_Fav_4,Decodds_Un_4,Decodds_Fav_5,Decodds_Un_5,KD_Fav,KD_Un,Pass_Fav,Pass_Un,Rev_Fav,Rev_Un,Sig_Str_Fav_Att,Sig_Str_Fav_Com,Sig_Str_Fav_Pct,Sig_Str_Un_Att,Sig_Str_Un_Com,Sig_Str_Un_Pct,Sig_Str_Body_Fav_Att,Sig_Str_Body_Fav_Com,Sig_Str_Body_Fav_Pct,Sig_Str_Body_Un_Att,Sig_Str_Body_Un_Com,Sig_Str_Body_Un_Pct,Sig_Str_Clinch_Fav_Att,Sig_Str_Clinch_Fav_Com,Sig_Str_Clinch_Fav_Pct,Sig_Str_Clinch_Un_Att,Sig_Str_Clinch_Un_Com,Sig_Str_Clinch_Un_Pct,Sig_Str_Distance_Fav_Att,Sig_Str_Distance_Fav_Com,Sig_Str_Distance_Fav_Pct,Sig_Str_Distance_Un_Att,Sig_Str_Distance_Un_Com,Sig_Str_Distance_Un_Pct,Sig_Str_Ground_Fav_Att,Sig_Str_Ground_Fav_Com,Sig_Str_Ground_Fav_Pct,Sig_Str_Ground_Un_Att,Sig_Str_Ground_Un_Com,Sig_Str_Ground_Un_Pct,Sig_Str_Head_Fav_Att,Sig_Str_Head_Fav_Com,Sig_Str_Head_Fav_Pct,Sig_Str_Head_Un_Att,Sig_Str_Head_Un_Com,Sig_Str_Head_Un_Pct,Sig_Str_Leg_Fav_Att,Sig_Str_Leg_Fav_Com,Sig_Str_Leg_Fav_Pct,Sig_Str_Leg_Un_Att,Sig_Str_Leg_Un_Com,Sig_Str_Leg_Un_Pct,Sub_Att_Fav,Sub_Att_Un,TD_Fav_Att,TD_Fav_Com,TD_Fav_Pct,TD_Un_Att,TD_Un_Com,TD_Un_Pct,Total_Str_Fav_Att,Total_Str_Fav_Com,Total_Str_Un_Att,Total_Str_Un_Com,Nickname_Fav,Nickname_Un,Betting_ID,Event_ID,Fight_ID,Details
UFC 243: Whittaker vs. Adesanya,Israel Adesanya,Robert Whittaker,http://ufcstats.com/fighter-details/1338e2c7480bdf9e,http://ufcstats.com/fighter-details/e1147d3d2dabe1ce,W,L,2,5 Rnd (5-5-5-5-5),UFC Middleweight Title Bout,3:33,KO/TKO,"6' 4""","80.0""",Switch,"6' 0""","73.0""",Orthodox,1.828221684,1.985636364,1.833333333,2,54.69796189,50.36168849,54.54545455,50,-120,-110,-126,106,-120,-110,-118,105,-120,100,1.833333333,1.909090909,1.793650794,2.06,1.833333333,1.909090909,1.847457627,2.05,1.833333333,2,2,0,0,0,0,0,40,95,0.421052632,32,116,0.275862069,6,8,0.75,3,5,0.6,0,0,0,0,0,0,37,91,0.406593407,32,116,0.275862069,3,4,0.75,0,0,0,27,80,0.3375,20,97,0.206185567,7,7,1,9,14,0.642857143,0,0,0,0,0,0,0,0,40,95,32,116,"""The Last Stylebender""","""The Reaper""",https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752,http://www.ufcstats.com/event-details/3cf68c1d17f66af7,http://www.ufcstats.com/fight-details/2556b7520536ce1d,
UFC 243: Whittaker vs. Adesanya,Dan Hooker,Al Iaquinta,http://ufcstats.com/fighter-details/193b9d1858bc4df3,http://ufcstats.com/fighter-details/59279a7c978f7da0,W,L,3,3 Rnd (5-5-5),Lightweight Bout,5:00,Decision - Unanimous,"6' 0""","75.0""",Switch,"5' 10""","70.0""",Orthodox,1.756898,2.086,1.769230769,2.1,56.91850068,47.93863854,56.52173913,47.61904762,-130,100,-130,110,-145,115,-121,108,-137,110,1.769230769,2,1.769230769,2.1,1.689655172,2.15,1.826446281,2.08,1.729927007,2.1,1,0,2,0,0,0,98,207,0.473429952,37,116,0.318965517,7,13,0.538461538,7,11,0.636363636,0,0,0,0,0,0,76,182,0.417582418,37,116,0.318965517,22,25,0.88,0,0,0,68,168,0.404761905,21,93,0.225806452,23,26,0.884615385,9,12,0.75,0,0,0,1,0,0,3,0,104,213,38,117,"""The Hangman""","""Raging""",https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752,http://www.ufcstats.com/event-details/3cf68c1d17f66af7,http://www.ufcstats.com/fight-details/0697d5520b74a8df,David Lethaby26 - 30.
UFC 243: Whittaker vs. Adesanya,Tai Tuivasa,Serghei Spivac,http://ufcstats.com/fighter-details/c62fbc117d57b943,http://ufcstats.com/fighter-details/e2f6b2769aaedd6c,L,W,2,3 Rnd (5-5-5),Heavyweight Bout,3:14,Submission,"6' 2""","75.0""",Southpaw,"6' 3""","78.0""",Orthodox,1.3142067,3.488,1.314465409,3.45,76.09153111,28.66972477,76.07655502,28.98550725,-320,235,-285,245,-380,270,-318,264,-303,230,1.3125,3.35,1.350877193,3.45,1.263157895,3.7,1.314465409,3.64,1.330033003,3.3,0,0,6,0,0,0,23,42,0.547619048,21,50,0.42,1,1,1,4,8,0.5,1,1,1,4,9,0.444444444,8,27,0.296296296,17,39,0.435897436,14,14,1,0,2,0,22,41,0.536585366,8,32,0.25,0,0,0,9,10,0.9,1,0,6,8,0.75,0,0,0,40,60,22,51,"""Bam Bam""","""Polar Bear""",https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752,http://www.ufcstats.com/event-details/3cf68c1d17f66af7,http://www.ufcstats.com/fight-details/8cd7ca0e7b861b3d,
UFC 243: Whittaker vs. Adesanya,Dhiego Lima,Luke Jumeau,http://ufcstats.com/fighter-details/e9213f53ddeca978,http://ufcstats.com/fighter-details/4c288a2b250bb576,W,L,3,3 Rnd (5-5-5),Welterweight Bout,5:00,Decision - Split,"6' 2""","75.0""",Orthodox,"5' 11""","72.0""",Orthodox,1.699193273,2.176,1.714285714,2.2,58.85145709,45.95588235,58.33333333,45.45454545,-140,110,-138,118,-155,120,-135,120,-149,120,1.714285714,2.1,1.724637681,2.18,1.64516129,2.2,1.740740741,2.2,1.67114094,2.2,0,0,0,0,0,0,32,105,0.304761905,24,95,0.252631579,2,12,0.166666667,1,4,0.25,0,0,0,0,0,0,30,99,0.303030303,24,95,0.252631579,2,6,0.333333333,0,0,0,15,72,0.208333333,17,85,0.2,15,21,0.714285714,6,6,1,0,0,2,6,0.333333333,0,0,0,49,124,24,95,,"""The Jedi""",https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752,http://www.ufcstats.com/event-details/3cf68c1d17f66af7,http://www.ufcstats.com/fight-details/fd0fd9a2d6ef8c4f,Charlie Keech28 - 29.
UFC 243: Whittaker vs. Adesanya,Justin Tafa,Yorgan De Castro,http://ufcstats.com/fighter-details/e13abac8089a801a,http://ufcstats.com/fighter-details/1eff7bc0f815b270,L,W,1,3 Rnd (5-5-5),Heavyweight Bout,2:10,KO/TKO,"6' 0""","74.0""",Southpaw,"6' 0""","74.0""",Orthodox,1.87454604,1.939644269,1.869565217,1.909090909,53.3462491,51.55584537,53.48837209,52.38095238,-115,-115,-110,-110,-135,105,102,-115,-120,100,1.869565217,1.869565217,1.909090909,1.909090909,1.740740741,2.05,2.02,1.869565217,1.833333333,2,0,1,0,0,0,0,6,9,0.666666667,4,12,0.333333333,1,1,1,2,2,1,4,6,0.666666667,0,4,0,2,3,0.666666667,4,8,0.5,0,0,0,0,0,0,5,8,0.625,2,10,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20,6,14,"""Bad Man""","""The Mad Titan""",https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752,http://www.ufcstats.com/event-details/3cf68c1d17f66af7,http://www.ufcstats.com/fight-details/9dfac33cd3ae4afd,
UFC 243: Whittaker vs. Adesanya,Jake Matthews,Rostem Akman,http://ufcstats.com/fighter-details/a845f0735bc67405,http://ufcstats.com/fighter-details/1fc64507a0cb38cf,W,L,3,3 Rnd (5-5-5),Welterweight Bout,5:00,Decision - Unanimous,"5' 11""","73.0""",Orthodox,"5' 10""","72.0""",Switch,1.2404221,4.15,1.25,4,80.61771873,24.09638554,80,25,-400,285,-500,385,-390,290,-407,315,-400,300,1.25,3.85,1.2,4.85,1.256410256,3.9,1.245700246,4.15,1.25,4,0,0,0,0,0,0,59,133,0.443609023,15,110,0.136363636,20,35,0.571428571,6,15,0.4,6,6,1,4,6,0.666666667,53,127,0.417322835,11,104,0.105769231,0,0,0,0,0,0,19,76,0.25,8,94,0.085106383,20,22,0.909090909,1,1,1,0,0,0,2,0,0,0,0,61,136,15,110,"""The Celtic Kid""","""Kurdimus Prime""",https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752,http://www.ufcstats.com/event-details/3cf68c1d17f66af7,http://www.ufcstats.com/fight-details/1cb7138b107b93b5,Charlie Keech30 - 27.
UFC 243: Whittaker vs. Adesanya,Maki Pitolo,Callan Potter,http://ufcstats.com/fighter-details/c549573c0df4d676,http://ufcstats.com/fighter-details/8fc9ae9c7527dfcb,L,W,3,3 Rnd (5-5-5),Welterweight Bout,5:00,Decision - Unanimous,"5' 10""","75.0""",Orthodox,"6' 0""","72.0""",Orthodox,1.265291425,3.85,1.27100271,3.9,79.03317608,25.97402597,78.67803838,25.64102564,-350,250,-400,330,-435,295,-369,290,-345,260,1.285714286,3.5,1.25,4.3,1.229885057,3.95,1.27100271,3.9,1.289855072,3.6,0,0,1,4,1,1,60,155,0.387096774,48,96,0.5,9,11,0.818181818,2,3,0.666666667,0,0,0,4,4,1,60,155,0.387096774,41,89,0.460674157,0,0,0,3,3,1,49,142,0.345070423,44,91,0.483516484,2,2,1,2,2,1,1,0,0,2,0,3,4,0.75,103,198,127,198,"""Coconut Bombz""","""The Rockstar""",https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752,http://www.ufcstats.com/event-details/3cf68c1d17f66af7,http://www.ufcstats.com/fight-details/578987d534a0d205,Richie Gerrard29 - 28.
UFC 243: Whittaker vs. Adesanya,Brad Riddell,Jamie Mullarkey,http://ufcstats.com/fighter-details/37ed1ab2f8b819f4,http://ufcstats.com/fighter-details/af9f42e6894047fc,W,L,3,3 Rnd (5-5-5),Lightweight Bout,5:00,Decision - Unanimous,"5' 7""","71.0""",Orthodox,"6' 0""","74.0""",Orthodox,1.566221514,2.45,1.581395349,2.47,63.847929,40.81632653,63.23529412,40.48582996,-170,133,-172,147,-190,150,-165,145,-189,150,1.588235294,2.33,1.581395349,2.47,1.526315789,2.5,1.606060606,2.45,1.529100529,2.5,0,0,5,2,1,1,91,153,0.594771242,36,95,0.378947368,14,16,0.875,4,4,1,3,3,1,0,0,0,63,121,0.520661157,35,93,0.376344086,25,29,0.862068966,1,2,0.5,70,129,0.542635659,25,83,0.301204819,7,8,0.875,7,8,0.875,0,1,1,1,1,3,15,0.2,104,167,41,100,"""Quake""",,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752,http://www.ufcstats.com/event-details/3cf68c1d17f66af7,http://www.ufcstats.com/fight-details/83d59f5e52e0ac46,Charlie Keech30 - 26.
UFC 243: Whittaker vs. Adesanya,Megan Anderson,Zarah Fairn,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1,http://ufcstats.com/fighter-details/862b0b3375aa4b6e,W,L,1,3 Rnd (5-5-5),Women's Featherweight Bout,3:57,Submission,"6' 0""","72.0""",Orthodox,"5' 8""","72.0""",,1.221176129,4.31,1.23255814,4.3,81.88826951,23.20185615,81.13207547,23.25581395,-430,300,-400,330,-535,350,-423,325,-500,350,1.23255814,4,1.25,4.3,1.186915888,4.5,1.236406619,4.25,1.2,4.5,0,0,2,0,0,1,10,18,0.555555556,2,5,0.4,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,2,5,0.4,10,13,0.769230769,0,0,0,10,17,0.588235294,2,5,0.4,0,0,0,0,0,0,1,0,1,2,0.5,0,0,0,22,33,32,45,,,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752,http://www.ufcstats.com/event-details/3cf68c1d17f66af7,http://www.ufcstats.com/fight-details/b8c21a311f3f7953,
UFC 243: Whittaker vs. Adesanya,Ji Yeon Kim,Nadia Kassem,http://ufcstats.com/fighter-details/a20f234df70f2182,http://ufcstats.com/fighter-details/6e7506127408aa9e,W,L,2,3 Rnd (5-5-5),Women's Flyweight Bout,4:59,KO/TKO,"5' 7""","72.0""",Orthodox,"5' 5""","66.0""",Southpaw,1.553439153,2.47,1.555555556,2.5,64.373297,40.48582996,64.28571429,40,-175,135,-180,155,-190,145,-171,150,-189,150,1.571428571,2.35,1.555555556,2.55,1.526315789,2.45,1.584795322,2.5,1.529100529,2.5,1,0,0,0,0,0,80,179,0.446927374,45,131,0.34351145,12,19,0.631578947,31,56,0.553571429,5,8,0.625,4,8,0.5,74,167,0.443113772,40,119,0.336134454,1,4,0.25,1,4,0.25,64,151,0.42384106,9,67,0.134328358,4,9,0.444444444,5,8,0.625,0,0,0,0,0,1,2,0.5,83,185,53,139,"""Firefist""","""187""",https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752,http://www.ufcstats.com/event-details/3cf68c1d17f66af7,http://www.ufcstats.com/fight-details/668d077ac9d7d3c9,
